,Year,AC_No,AC_Name,AC_Type,Cand1,Sex1,Party1,Turnout
13396,2012,70,RAJKOT SOUTH,GEN,GOVIND PATEL,M,BJP,99.94
13403,2012,71,RAJKOT RURAL,SC,BHANUBEN MANOHARBHAI BABARIYA,F,BJP,100
13408,2012,72,JASDAN,GEN,GOHEL BHOLABHAI BHIKHABHAI,M,INC,99.97
13423,2012,73,GONDAL,GEN,JADEJA JAYRAJSINH TEMUBHA,M,BJP,99.96
13441,2012,74,JETPUR,GEN,RADADIYA JAYESHBHAI VITTHALBHAI,M,INC,99.97
13448,2012,75,DHORAJI,GEN,RADADIYA VITHALBHAI HANSRAJBHAI,M,INC,99.96
13466,2012,76,KALAWAD,SC,CHAVDA MEGHJIBHAI AMARABHAI,M,BJP,99.98
13473,2012,77,JAMNAGAR RURAL,GEN,RAGHAVJIBHAI HANSRAJBHAI PATEL,M,INC,99.96
13491,2012,78,JAMNAGAR NORTH,GEN,JADEJA DHARMENDRASINH MERUBHA (HAKUBHA JADEJA),M,INC,99.98
13504,2012,79,JAMNAGAR SOUTH,GEN,TRIVEDI VASUBEN NARENDRABHAI,F,BJP,99.96
13516,2012,80,JAMJODHPUR,GEN,SHAPRIYA CHIMANBHAI DHARAMSHIBHAI,M,BJP,99.95
13529,2012,81,KHAMBHALIA,GEN,POONAMBEN HEMATBHAI MADAM,F,BJP,99.95
13556,2012,82,DWARKA,GEN,PABUBHA VIRAMBHA MANEK,M,BJP,99.98
13558,2012,83,PORBANDAR,GEN,BABUBHAI BHIMABHAI BOKHIRIA,M,BJP,99.96
13570,2012,84,KUTIYANA,GEN,KANDHAL SARMANBHAI JADEJA,M,NCP,99.93
13579,2012,85,MANAVADAR,GEN,CHAVDA JAWAHARBHAI PETHALAJIBHAI,M,INC,99.98
13588,2012,86,JUNAGADH,GEN,MASHRU MAHENDRABHAI LILADHARBHAI,M,BJP,99.83
13599,2012,87,VISAVADAR,GEN,KESHUBHAI SAVDASBHAI PATEL,M,GPP,99.99
13613,2012,88,KESHOD,GEN,ARVINDBHAI KESHAVBHAI LADANI,M,BJP,99.84
13622,2012,89,MANGROL,GEN,CHUDASAMA RAJESHBHAI NARANBHAI,M,BJP,99.95
13630,2012,90,SOMNATH,GEN,BARAD JASHUBHAI DHANABHAI,M,INC,99.9
13644,2012,91,TALALA,GEN,JASHUBHAI DHANABHAI BARAD,M,INC,99.94
13653,2012,92,KODINAR,SC,SOLANKI JETHABHAI DANABHAI,M,BJP,99.97
13657,2012,93,UNA,GEN,VANSH PUNJABHAI BHIMABHAI,M,INC,99.9
13662,2012,94,DHARI,GEN,KOTADIYA NALINBHAI NANJIBHAI,M,GPP,99.95
13682,2012,95,AMRELI,GEN,PARESH DHANANI,M,INC,99.92
13684,2012,96,LATHI,GEN,BAVKUBHAI NATHABHAI UNDHAD,M,INC,99.96
13694,2012,97,SAVARKUNDLA,GEN,VAGHASIYA VALLABHBHAI VASHARAMBHAI (V.V.VAGHASIYA),M,BJP,99.99
13703,2012,98,RAJULA,GEN,SOLANKI HIRABHAI ODHAVJIBHAI,M,BJP,99.93
13712,2012,99,MAHUVA,GEN,MAKWANA BHAVANABEN RAGHAVBHAI,F,BJP,99.89
13720,2012,100,TALAJA,GEN,SHYAL BHARTIBEN DHIRUBHAI,F,BJP,99.9
13727,2012,101,GARIADHAR,GEN,KESHUBHAI HIRJIBHAI NAKARANI,M,BJP,99.99
13743,2012,102,PALITANA,GEN,RATHOD PRAVINBHAI JINABHAI,M,INC,99.94
13758,2012,103,BHAVNAGAR RURAL,GEN,PARSHOTTAMBHAI ODHAVJIBHAI SOLANKI,M,BJP,99.96
13765,2012,104,BHAVNAGAR EAST,GEN,DAVE VIBHAVARIBEN VIJAYBHAI (VIBHABEN DAVE),F,BJP,99.78
13771,2012,105,BHAVNAGAR WEST,GEN,JITENDRABHAI SAVJIBHAI VAGHANI (JITU VAGHANI),M,BJP,99.86
13784,2012,106,GADHADA,SC,ATMARAM MAKANBHAI PARMAR,M,BJP,99.94
13796,2012,107,BOTAD,GEN,MANIYA THAKARSHIBHAI DEVJIBHAI,M,BJP,99.97
13807,2012,108,KHAMBHAT,GEN,SANJAYKUMAR RAMANBHAI PATEL,M,BJP,99.88
13811,2012,109,BORSAD,GEN,PARMAR RAJENDRASINH DHIRSINH,M,INC,99.88
13821,2012,110,ANKLAV,GEN,AMIT CHAVDA,M,INC,100
13824,2012,111,UMRETH,GEN,JAYANTBHAI RAMANBHAI PATEL (BOSKEY),M,NCP,99.99
13837,2012,112,ANAND,GEN,DILIPBHAI MANIBHAI PATEL,M,BJP,99.99
13843,2012,113,PETLAD,GEN,NIRANJAN PURSOTTAMDAS PATEL,M,INC,99.96
13853,2012,114,SOJITRA,GEN,PARMAR PUNAMBHAI MADHABHAI,M,INC,99.96
13856,2012,115,MATAR,GEN,CHAUHAN DEVUSINH JESINGBHAI,M,BJP,99.9
13873,2012,116,NADIAD,GEN,DESAI PANKAJKUMAR VINUBHAI (GOTIYO),M,BJP,99.69
